id,question,answer,explanation,unit
82,dead polymer는 성장 단계 초기에 불포화군이 생성되며 만들어지는 활성 단량체이다.,X,[폴리머 재료의 기초 4P] 서술은 틀렸다. 틀린 지점은 'dead polymer 형성'이다. 올바르게는 두 개의 성장하는 사슬이 조합되면 dead polymer가 형성될 수 있다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 성장 단계는 개시 후 낮은 에너지로 사슬반응이 이어지고 발열을 동반한다. 정지 단계는 활성 사슬이 자유라디칼과 만나거나 두 성장 사슬이 결합해 더 이상 성장하지 못하는 상태가 되는 과정이다.,폴리머 재료의 기초
83,공중합은 두 종류 이상의 화학적으로 다른 단량체로 구성된 중합체를 만드는 반응이다.,O,"[폴리머 재료의 기초 4P] 서술은 맞다. 공중합은 두 종류 이상의 화학적으로 다른 단량체로 구성된 중합체를 만드는 반응이다. 특히 동종중합와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 성장 단계는 개시 후 낮은 에너지로 사슬반응이 이어지고 발열을 동반한다. 정지 단계는 활성 사슬이 자유라디칼과 만나거나 두 성장 사슬이 결합해 더 이상 성장하지 못하는 상태가 되는 과정이다. 용어 자체를 묻는 문제처럼 보여도, 실제로는 정의에 들어가는 구성 요소를 하나라도 바꾸면 바로 오답이 된다.",폴리머 재료의 기초
84,가교결합은 선형 중합체 사슬을 모두 절단해 단량체로 되돌리는 반응이다.,X,[폴리머 재료의 기초 4P] 서술은 틀렸다. 틀린 지점은 '가교결합 기전'이다. 올바르게는 가교결합은 두 개 이상의 반응성 이중결합을 가진 가교제가 선형 중합체를 3차원 망상구조로 연결하는 반응이다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 성장 단계는 개시 후 낮은 에너지로 사슬반응이 이어지고 발열을 동반한다. 정지 단계는 활성 사슬이 자유라디칼과 만나거나 두 성장 사슬이 결합해 더 이상 성장하지 못하는 상태가 되는 과정이다.,폴리머 재료의 기초
85,가교 효과는 가교제와 중합체의 조성 및 농도에 따라 달라진다.,O,[폴리머 재료의 기초 4P] 서술은 맞다. 가교 효과는 가교제와 중합체의 조성 및 농도에 따라 달라진다. 특히 가교제 농도와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 성장 단계는 개시 후 낮은 에너지로 사슬반응이 이어지고 발열을 동반한다. 정지 단계는 활성 사슬이 자유라디칼과 만나거나 두 성장 사슬이 결합해 더 이상 성장하지 못하는 상태가 되는 과정이다. 결과만 외우기보다 그 결과가 생기는 구조적 이유를 함께 보면 X문항의 방향 전환을 잡기 쉽다.,폴리머 재료의 기초
86,저분자량 중합체의 가교는 Tg에 전혀 영향을 주지 않는다.,X,[폴리머 재료의 기초 4P] 서술은 틀렸다. 틀린 지점은 '가교와 Tg 상승'이다. 올바르게는 저분자량 중합체도 가교되면 고분자량 중합체만큼 Tg가 높아질 수 있다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 성장 단계는 개시 후 낮은 에너지로 사슬반응이 이어지고 발열을 동반한다. 정지 단계는 활성 사슬이 자유라디칼과 만나거나 두 성장 사슬이 결합해 더 이상 성장하지 못하는 상태가 되는 과정이다.,폴리머 재료의 기초
87,potassium alginate에서 calcium alginate가 생성되는 과정과 폴리설파이드 고무인상재의 경화는 가교 예로 들 수 있다.,O,"[폴리머 재료의 기초 4P] 서술은 맞다. potassium alginate에서 calcium alginate가 생성되는 과정과 폴리설파이드 고무인상재의 경화는 가교 예로 들 수 있다. 특히 경화와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 공중합과 가교는 모두 두 종류 이상의 반응 단위를 다룰 수 있지만 의미가 다르다. 공중합은 서로 다른 monomer의 조합이고, 가교는 선형 사슬 사이를 연결해 3차원 망상구조를 만드는 과정이다. 사용 가능 여부는 성질 하나만이 아니라 취급성, 안정성, 구강 내 조건까지 함께 반영된다.",폴리머 재료의 기초
88,가소제는 레진의 연화온도와 용융온도를 높여 성형을 어렵게 만든다.,X,"[폴리머 재료의 기초 4P] 서술은 틀렸다. 틀린 지점은 '가소제의 기본 목적'이다. 올바르게는 가소제는 레진의 연화온도나 용융온도를 낮추기 위해 사용된다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 공중합과 가교는 모두 두 종류 이상의 반응 단위를 다룰 수 있지만 의미가 다르다. 공중합은 서로 다른 monomer의 조합이고, 가교는 선형 사슬 사이를 연결해 3차원 망상구조를 만드는 과정이다.",폴리머 재료의 기초
89,치과용 가소제는 단량체와 중합체 분말을 섞을 때 분말의 용해도를 높일 수 있다.,O,"[폴리머 재료의 기초 4P] 서술은 맞다. 치과용 가소제는 단량체와 중합체 분말을 섞을 때 분말의 용해도를 높일 수 있다. 특히 중합금지제와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 공중합과 가교는 모두 두 종류 이상의 반응 단위를 다룰 수 있지만 의미가 다르다. 공중합은 서로 다른 monomer의 조합이고, 가교는 선형 사슬 사이를 연결해 3차원 망상구조를 만드는 과정이다. 사용 가능 여부는 성질 하나만이 아니라 취급성, 안정성, 구강 내 조건까지 함께 반영된다.",폴리머 재료의 기초
90,가소제는 경화된 중합체의 취성을 반드시 증가시킨다.,X,"[폴리머 재료의 기초 4P] 서술은 틀렸다. 틀린 지점은 '가소제와 취성'이다. 올바르게는 가소제는 경화된 중합체의 취성을 줄이는 데 도움을 줄 수 있다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 공중합과 가교는 모두 두 종류 이상의 반응 단위를 다룰 수 있지만 의미가 다르다. 공중합은 서로 다른 monomer의 조합이고, 가교는 선형 사슬 사이를 연결해 3차원 망상구조를 만드는 과정이다.",폴리머 재료의 기초
91,"가소제는 레진의 강도, 경도, 연화점을 감소시킬 수 있다.",O,"[폴리머 재료의 기초 4P] 서술은 맞다. 가소제는 레진의 강도, 경도, 연화점을 감소시킬 수 있다. 특히 가교제와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 공중합과 가교는 모두 두 종류 이상의 반응 단위를 다룰 수 있지만 의미가 다르다. 공중합은 서로 다른 monomer의 조합이고, 가교는 선형 사슬 사이를 연결해 3차원 망상구조를 만드는 과정이다. 장점과 단점은 함께 출제되기 쉬우며, 장점만 보고 모든 성질이 좋아진다고 일반화하면 안 된다.",폴리머 재료의 기초
92,외부가소제는 중합체 사슬 사이의 공간을 줄여 사슬 운동을 억제한다.,X,"[폴리머 재료의 기초 4P] 서술은 틀렸다. 틀린 지점은 '외부가소제 작용 방식'이다. 올바르게는 외부가소제는 용매처럼 분자 내로 침투해 분자간 공간을 증가시킨다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 공중합과 가교는 모두 두 종류 이상의 반응 단위를 다룰 수 있지만 의미가 다르다. 공중합은 서로 다른 monomer의 조합이고, 가교는 선형 사슬 사이를 연결해 3차원 망상구조를 만드는 과정이다.",폴리머 재료의 기초
93,외부가소제는 레진 제작과 사용 중 기화하거나 빠져나오지 않아야 한다.,O,"[폴리머 재료의 기초 4P] 서술은 맞다. 외부가소제는 레진 제작과 사용 중 기화하거나 빠져나오지 않아야 한다. 특히 휘발·용출와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 공중합과 가교는 모두 두 종류 이상의 반응 단위를 다룰 수 있지만 의미가 다르다. 공중합은 서로 다른 monomer의 조합이고, 가교는 선형 사슬 사이를 연결해 3차원 망상구조를 만드는 과정이다. 예외 조건이나 제한점을 빼면 실제 재료 선택과 맞지 않는 서술이 된다.",폴리머 재료의 기초
94,치과에서 내부가소제로는 주로 benzoyl peroxide가 사용된다.,X,"[폴리머 재료의 기초 5P] 서술은 틀렸다. 틀린 지점은 '내부가소제 예'이다. 올바르게는 치과에서 내부가소제로는 주로 butyl acrylate가 사용된다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 가소제는 사슬 사이 공간과 운동성을 키워 레진을 부드럽게 만들지만, 그 대가로 강도·경도·연화점이 낮아질 수 있다. 외부가소제와 내부가소제는 레진 안에 들어가는 방식이 다르다.",폴리머 재료의 기초
95,내부가소제는 적절한 comonomer와 함께 공중합되어 레진을 연화시킨다.,O,"[폴리머 재료의 기초 5P] 서술은 맞다. 내부가소제는 적절한 comonomer와 함께 공중합되어 레진을 연화시킨다. 특히 외부가소제와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 가소제는 사슬 사이 공간과 운동성을 키워 레진을 부드럽게 만들지만, 그 대가로 강도·경도·연화점이 낮아질 수 있다. 외부가소제와 내부가소제는 레진 안에 들어가는 방식이 다르다. 반응기전은 어떤 결합이 끊어지고 어떤 활성점이 생기는지를 중심으로 보면 문장이 정리된다.",폴리머 재료의 기초
96,내부가소제는 중합체의 일부가 되지 않고 항상 표면에서 증발한다.,X,"[폴리머 재료의 기초 5P] 서술은 틀렸다. 틀린 지점은 '내부가소제와 중합체 구조'이다. 올바르게는 내부가소제는 중합체의 일부가 되어 분자간 공간을 증가시킨다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 가소제는 사슬 사이 공간과 운동성을 키워 레진을 부드럽게 만들지만, 그 대가로 강도·경도·연화점이 낮아질 수 있다. 외부가소제와 내부가소제는 레진 안에 들어가는 방식이 다르다.",폴리머 재료의 기초
97,단량체의 불순물은 중합반응을 억제할 수 있다.,O,"[폴리머 재료의 기초 5P] 서술은 맞다. 단량체의 불순물은 중합반응을 억제할 수 있다. 특히 중합금지제와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 가소제는 사슬 사이 공간과 운동성을 키워 레진을 부드럽게 만들지만, 그 대가로 강도·경도·연화점이 낮아질 수 있다. 외부가소제와 내부가소제는 레진 안에 들어가는 방식이 다르다. 결과만 외우기보다 그 결과가 생기는 구조적 이유를 함께 보면 X문항의 방향 전환을 잡기 쉽다.",폴리머 재료의 기초
98,저장 중 중합을 촉진하기 위해 hydroquinone을 다량 첨가한다.,X,"[폴리머 재료의 기초 5P] 서술은 틀렸다. 틀린 지점은 'hydroquinone의 역할'이다. 올바르게는 저장 중 중합을 막기 위해 단량체에 hydroquinone을 미량 첨가할 수 있다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 가소제는 사슬 사이 공간과 운동성을 키워 레진을 부드럽게 만들지만, 그 대가로 강도·경도·연화점이 낮아질 수 있다. 외부가소제와 내부가소제는 레진 안에 들어가는 방식이 다르다.",폴리머 재료의 기초
99,중합금지제는 활성화된 기와 반응해 개시 단계 시간을 연장하고 작업시간을 확보한다.,O,"[폴리머 재료의 기초 5P] 서술은 맞다. 중합금지제는 활성화된 기와 반응해 개시 단계 시간을 연장하고 작업시간을 확보한다. 특히 개시제와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 가소제는 사슬 사이 공간과 운동성을 키워 레진을 부드럽게 만들지만, 그 대가로 강도·경도·연화점이 낮아질 수 있다. 외부가소제와 내부가소제는 레진 안에 들어가는 방식이 다르다. 결과만 외우기보다 그 결과가 생기는 구조적 이유를 함께 보면 X문항의 방향 전환을 잡기 쉽다.",폴리머 재료의 기초
100,산소는 자유라디칼을 안정적으로 증가시켜 중합을 촉진한다.,X,"[폴리머 재료의 기초 5P] 서술은 틀렸다. 틀린 지점은 '산소의 중합 억제'이다. 올바르게는 산소는 자유라디칼과 반응하여 중합을 억제할 수 있다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 가소제는 사슬 사이 공간과 운동성을 키워 레진을 부드럽게 만들지만, 그 대가로 강도·경도·연화점이 낮아질 수 있다. 외부가소제와 내부가소제는 레진 안에 들어가는 방식이 다르다.",폴리머 재료의 기초
101,산소에 의한 중합 억제는 반응속도와 중합도에 영향을 준다.,O,"[폴리머 재료의 기초 5P] 서술은 맞다. 산소에 의한 중합 억제는 반응속도와 중합도에 영향을 준다. 특히 하이드로퀴논와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 가소제는 사슬 사이 공간과 운동성을 키워 레진을 부드럽게 만들지만, 그 대가로 강도·경도·연화점이 낮아질 수 있다. 외부가소제와 내부가소제는 레진 안에 들어가는 방식이 다르다. 결과만 외우기보다 그 결과가 생기는 구조적 이유를 함께 보면 X문항의 방향 전환을 잡기 쉽다.",폴리머 재료의 기초
102,"하이드로퀴논, 유지놀, 산소는 모두 치과용 레진 중합을 촉진하는 활성제이다.",X,"[폴리머 재료의 기초 5P] 서술은 틀렸다. 틀린 지점은 '중합 억제 물질 구분'이다. 올바르게는 하이드로퀴논, 유지놀, 산소는 치과용 레진의 중합을 억제할 수 있다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 가소제는 사슬 사이 공간과 운동성을 키워 레진을 부드럽게 만들지만, 그 대가로 강도·경도·연화점이 낮아질 수 있다. 외부가소제와 내부가소제는 레진 안에 들어가는 방식이 다르다.",폴리머 재료의 기초
103,비닐 레진은 ethylene 유도체이며 vinyl group을 가진다.,O,"[폴리머 재료의 기초 5P] 서술은 맞다. 비닐 레진은 ethylene 유도체이며 vinyl group을 가진다. 특히 아크릴 레진와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 가소제는 사슬 사이 공간과 운동성을 키워 레진을 부드럽게 만들지만, 그 대가로 강도·경도·연화점이 낮아질 수 있다. 외부가소제와 내부가소제는 레진 안에 들어가는 방식이 다르다. 성분명은 비슷해 보여도 개시제, 활성제, 반응기처럼 역할이 다르면 정답이 달라진다.",폴리머 재료의 기초
104,폴리염화비닐은 불투명하고 무르고 강한 냄새를 가지는 재료로 설명된다.,X,"[폴리머 재료의 기초 5P] 서술은 틀렸다. 틀린 지점은 'PVC 기본 성질'이다. 올바르게는 폴리염화비닐은 투명하고 단단하며 무색·무취의 성질을 가진다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 가소제는 사슬 사이 공간과 운동성을 키워 레진을 부드럽게 만들지만, 그 대가로 강도·경도·연화점이 낮아질 수 있다. 외부가소제와 내부가소제는 레진 안에 들어가는 방식이 다르다.",폴리머 재료의 기초
105,폴리염화비닐은 자외선 노출이나 가소제 첨가로 변색될 수 있다.,O,"[폴리머 재료의 기초 5P] 서술은 맞다. 폴리염화비닐은 자외선 노출이나 가소제 첨가로 변색될 수 있다. 특히 가소제와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 가소제는 사슬 사이 공간과 운동성을 키워 레진을 부드럽게 만들지만, 그 대가로 강도·경도·연화점이 낮아질 수 있다. 외부가소제와 내부가소제는 레진 안에 들어가는 방식이 다르다. 결과만 외우기보다 그 결과가 생기는 구조적 이유를 함께 보면 X문항의 방향 전환을 잡기 쉽다.",폴리머 재료의 기초
106,폴리아세트산비닐은 빛과 열에 매우 불안정하고 Tg가 150℃ 이상이다.,X,"[폴리머 재료의 기초 5P] 서술은 틀렸다. 틀린 지점은 'PVAc 안정성·Tg'이다. 올바르게는 폴리아세트산비닐은 빛과 열에 안정적이며 유리전이온도가 35~40℃로 낮다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 가소제는 사슬 사이 공간과 운동성을 키워 레진을 부드럽게 만들지만, 그 대가로 강도·경도·연화점이 낮아질 수 있다. 외부가소제와 내부가소제는 레진 안에 들어가는 방식이 다르다.",폴리머 재료의 기초
107,염화비닐과 아세트산비닐의 공중합체는 과거 의치상용 레진으로 사용된 적이 있다.,O,"[폴리머 재료의 기초 5P] 서술은 맞다. 염화비닐과 아세트산비닐의 공중합체는 과거 의치상용 레진으로 사용된 적이 있다. 특히 PMMA와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 중합금지제는 저장 안정성과 작업시간 확보에 관련된다. 하이드로퀴논, 산소, 유지놀처럼 자유라디칼 반응을 방해하는 물질은 반응속도와 중합도까지 바꿀 수 있다. 사용 가능 여부는 성질 하나만이 아니라 취급성, 안정성, 구강 내 조건까지 함께 반영된다.",폴리머 재료의 기초
108,염화비닐-아세트산비닐 공중합체는 낮은 평균 분자량과 낮은 Tg 때문에 몰딩 응력이 생긴다.,X,"[폴리머 재료의 기초 5P] 서술은 틀렸다. 틀린 지점은 'VC-VAc 물성 원인'이다. 올바르게는 염화비닐-아세트산비닐 공중합체는 높은 평균 분자량과 높은 Tg를 가진다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 중합금지제는 저장 안정성과 작업시간 확보에 관련된다. 하이드로퀴논, 산소, 유지놀처럼 자유라디칼 반응을 방해하는 물질은 반응속도와 중합도까지 바꿀 수 있다.",폴리머 재료의 기초
109,염화비닐-아세트산비닐 공중합체는 몰딩 시 영구적 응력과 변형이 생길 수 있다.,O,"[폴리머 재료의 기초 5P] 서술은 맞다. 염화비닐-아세트산비닐 공중합체는 몰딩 시 영구적 응력과 변형이 생길 수 있다. 특히 Tg와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 중합금지제는 저장 안정성과 작업시간 확보에 관련된다. 하이드로퀴논, 산소, 유지놀처럼 자유라디칼 반응을 방해하는 물질은 반응속도와 중합도까지 바꿀 수 있다. 사용 가능 여부는 성질 하나만이 아니라 취급성, 안정성, 구강 내 조건까지 함께 반영된다.",폴리머 재료의 기초
110,염화비닐-아세트산비닐 공중합체는 파절 저항성이 높아 현재 의치상 재료의 중심이다.,X,"[폴리머 재료의 기초 5P] 서술은 틀렸다. 틀린 지점은 'VC-VAc 사용 제한 이유'이다. 올바르게는 염화비닐-아세트산비닐 공중합체는 쉽게 파절되어 현재는 잘 사용되지 않는다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 중합금지제는 저장 안정성과 작업시간 확보에 관련된다. 하이드로퀴논, 산소, 유지놀처럼 자유라디칼 반응을 방해하는 물질은 반응속도와 중합도까지 바꿀 수 있다.",폴리머 재료의 기초
111,레진은 유리전이온도 부근에서 연화되어 몰딩 작업이 가능해진다.,O,"[폴리머 재료의 기초 5P] 서술은 맞다. 레진은 유리전이온도 부근에서 연화되어 몰딩 작업이 가능해진다. 특히 연화온도와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 중합금지제는 저장 안정성과 작업시간 확보에 관련된다. 하이드로퀴논, 산소, 유지놀처럼 자유라디칼 반응을 방해하는 물질은 반응속도와 중합도까지 바꿀 수 있다. 사용 가능 여부는 성질 하나만이 아니라 취급성, 안정성, 구강 내 조건까지 함께 반영된다.",폴리머 재료의 기초
112,유리전이온도가 높을수록 어떤 조건에서도 임상 성형이 쉬워진다.,X,"[폴리머 재료의 기초 5P] 서술은 틀렸다. 틀린 지점은 '높은 Tg의 사용 제한'이다. 올바르게는 유리전이온도가 너무 높은 레진은 실제 사용에서 몰딩이 어려울 수 있다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 중합금지제는 저장 안정성과 작업시간 확보에 관련된다. 하이드로퀴논, 산소, 유지놀처럼 자유라디칼 반응을 방해하는 물질은 반응속도와 중합도까지 바꿀 수 있다.",폴리머 재료의 기초
113,레진의 Tg가 높으면 자체 Tg를 낮추거나 가소제를 첨가해 몰딩성을 보완할 수 있다.,O,"[폴리머 재료의 기초 5P] 서술은 맞다. 레진의 Tg가 높으면 자체 Tg를 낮추거나 가소제를 첨가해 몰딩성을 보완할 수 있다. 특히 가소제와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 중합금지제는 저장 안정성과 작업시간 확보에 관련된다. 하이드로퀴논, 산소, 유지놀처럼 자유라디칼 반응을 방해하는 물질은 반응속도와 중합도까지 바꿀 수 있다. 결과만 외우기보다 그 결과가 생기는 구조적 이유를 함께 보면 X문항의 방향 전환을 잡기 쉽다.",폴리머 재료의 기초
114,폴리스티렌은 에틸렌의 산소 원자가 칼슘으로 치환되어 형성된다.,X,"[폴리머 재료의 기초 5P] 서술은 틀렸다. 틀린 지점은 '폴리스티렌 구조'이다. 올바르게는 폴리스티렌은 에틸렌의 한 수소가 벤젠 라디칼로 치환되어 형성되는 스티렌계 레진이다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 비닐 레진 계열은 비닐 그룹과 Tg, 몰딩성의 관계를 함께 보아야 한다. Tg가 너무 높으면 성형 중 응력과 변형이 생기기 쉬워 실제 사용성이 떨어진다.",폴리머 재료의 기초
115,폴리스티렌은 투명한 열가소성 레진이다.,O,"[폴리머 재료의 기초 5P] 서술은 맞다. 폴리스티렌은 투명한 열가소성 레진이다. 특히 열경화성와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 비닐 레진 계열은 비닐 그룹과 Tg, 몰딩성의 관계를 함께 보아야 한다. Tg가 너무 높으면 성형 중 응력과 변형이 생기기 쉬워 실제 사용성이 떨어진다. 비슷한 재료명이나 반응명을 바꿔 넣는 함정이 잘 생기므로, 비교 기준을 먼저 잡아야 한다.",폴리머 재료의 기초
116,폴리스티렌은 빛과 모든 화학물질에 매우 쉽게 분해된다.,X,"[폴리머 재료의 기초 5P] 서술은 틀렸다. 틀린 지점은 '폴리스티렌 안정성'이다. 올바르게는 폴리스티렌은 빛과 여러 화학물질에 안정적이다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 비닐 레진 계열은 비닐 그룹과 Tg, 몰딩성의 관계를 함께 보아야 한다. Tg가 너무 높으면 성형 중 응력과 변형이 생기기 쉬워 실제 사용성이 떨어진다.",폴리머 재료의 기초
117,폴리스티렌은 유기용매에 분해되어 의치상 제작 등에 제한적으로 사용된다.,O,"[폴리머 재료의 기초 5P] 서술은 맞다. 폴리스티렌은 유기용매에 분해되어 의치상 제작 등에 제한적으로 사용된다. 특히 PMMA와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 비닐 레진 계열은 비닐 그룹과 Tg, 몰딩성의 관계를 함께 보아야 한다. Tg가 너무 높으면 성형 중 응력과 변형이 생기기 쉬워 실제 사용성이 떨어진다. 사용 가능 여부는 성질 하나만이 아니라 취급성, 안정성, 구강 내 조건까지 함께 반영된다.",폴리머 재료의 기초
118,폴리스티렌은 divinyl benzene과 공중합하면 반드시 수용성 물질이 된다.,X,"[폴리머 재료의 기초 5P] 서술은 틀렸다. 틀린 지점은 '폴리스티렌 공중합 결과'이다. 올바르게는 폴리스티렌은 divinyl benzene과 공중합해 불용성 물질을 만들 수 있다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 비닐 레진 계열은 비닐 그룹과 Tg, 몰딩성의 관계를 함께 보아야 한다. Tg가 너무 높으면 성형 중 응력과 변형이 생기기 쉬워 실제 사용성이 떨어진다.",폴리머 재료의 기초
119,아크릴 레진은 ethylene 유도체이며 vinyl group을 가진다.,O,"[폴리머 재료의 기초 6P] 서술은 맞다. 아크릴 레진은 ethylene 유도체이며 vinyl group을 가진다. 특히 비닐 레진와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 비닐 레진 계열은 비닐 그룹과 Tg, 몰딩성의 관계를 함께 보아야 한다. Tg가 너무 높으면 성형 중 응력과 변형이 생기기 쉬워 실제 사용성이 떨어진다. 성분명은 비슷해 보여도 개시제, 활성제, 반응기처럼 역할이 다르면 정답이 달라진다.",폴리머 재료의 기초
120,아크릴산은 중합되면 PMMA가 되어 의치상용 레진 분말만 형성한다.,X,"[폴리머 재료의 기초 6P] 서술은 틀렸다. 틀린 지점은 '아크릴산 유도체'이다. 올바르게는 아크릴산은 중합되어 polyacrylic acid가 되며 치과용 시멘트 용액과 관련된다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 비닐 레진 계열은 비닐 그룹과 Tg, 몰딩성의 관계를 함께 보아야 한다. Tg가 너무 높으면 성형 중 응력과 변형이 생기기 쉬워 실제 사용성이 떨어진다.",폴리머 재료의 기초
121,메타크릴산은 polymethacrylic acid로 이어지며 의치상용 레진과 관련된다.,O,"[폴리머 재료의 기초 6P] 서술은 맞다. 메타크릴산은 polymethacrylic acid로 이어지며 의치상용 레진과 관련된다. 특히 아크릴산와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 비닐 레진 계열은 비닐 그룹과 Tg, 몰딩성의 관계를 함께 보아야 한다. Tg가 너무 높으면 성형 중 응력과 변형이 생기기 쉬워 실제 사용성이 떨어진다. 성분명은 비슷해 보여도 개시제, 활성제, 반응기처럼 역할이 다르면 정답이 달라진다.",폴리머 재료의 기초
122,폴리아크릴산과 폴리메타크릴산은 부드럽고 불투명한 고무상 재료이다.,X,"[폴리머 재료의 기초 6P] 서술은 틀렸다. 틀린 지점은 'polyacid 성질'이다. 올바르게는 폴리아크릴산과 폴리메타크릴산은 딱딱하고 투명한 성질을 가진다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 비닐 레진 계열은 비닐 그룹과 Tg, 몰딩성의 관계를 함께 보아야 한다. Tg가 너무 높으면 성형 중 응력과 변형이 생기기 쉬워 실제 사용성이 떨어진다.",폴리머 재료의 기초
123,"폴리아크릴산과 폴리메타크릴산의 극성 카르복실기는 물흡수, 사슬 분리, 연화, 강도 감소를 일으켜 구강 내 사용에 부적합하다.",O,"[폴리머 재료의 기초 6P] 서술은 맞다. 폴리아크릴산과 폴리메타크릴산의 극성 카르복실기는 물흡수, 사슬 분리, 연화, 강도 감소를 일으켜 구강 내 사용에 부적합하다. 특히 에스테르화와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 비닐 레진 계열은 비닐 그룹과 Tg, 몰딩성의 관계를 함께 보아야 한다. Tg가 너무 높으면 성형 중 응력과 변형이 생기기 쉬워 실제 사용성이 떨어진다. 결과만 외우기보다 그 결과가 생기는 구조적 이유를 함께 보면 X문항의 방향 전환을 잡기 쉽다.",폴리머 재료의 기초
124,polyacid의 에스테르는 반드시 물흡수가 커져 치과 사용이 불가능하다.,X,[폴리머 재료의 기초 6P] 서술은 틀렸다. 틀린 지점은 '에스테르화와 치과 적합성'이다. 올바르게는 polyacid의 에스테르는 치과 사용에 적합하며 polymethacrylate가 예로 제시된다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 폴리스티렌은 투명한 열가소성 레진이지만 유기용매에 취약하다는 제한점이 있다. divinyl benzene과의 공중합은 불용성 물질을 만들 수 있어 단독 폴리스티렌과 구분된다.,폴리머 재료의 기초
125,짧은 사슬 범위에서 알킬기 R side chain이 길어질수록 Tg는 낮아진다.,O,[폴리머 재료의 기초 6P] 서술은 맞다. 짧은 사슬 범위에서 알킬기 R side chain이 길어질수록 Tg는 낮아진다. 특히 isomer와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 폴리스티렌은 투명한 열가소성 레진이지만 유기용매에 취약하다는 제한점이 있다. divinyl benzene과의 공중합은 불용성 물질을 만들 수 있어 단독 폴리스티렌과 구분된다. 증가·감소 방향이 바뀌면 같은 용어가 들어가도 전혀 다른 서술이 된다.,폴리머 재료의 기초
126,알킬기 side chain이 isomer 형태가 되면 Tg는 반드시 감소한다.,X,[폴리머 재료의 기초 6P] 서술은 틀렸다. 틀린 지점은 'isomer와 Tg'이다. 올바르게는 알킬기 side chain이 isomer 형태일 때 Tg는 증가한다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 폴리스티렌은 투명한 열가소성 레진이지만 유기용매에 취약하다는 제한점이 있다. divinyl benzene과의 공중합은 불용성 물질을 만들 수 있어 단독 폴리스티렌과 구분된다.,폴리머 재료의 기초
